group,function,value,sample_time_nanos,iteration_count
keywords,,,992166.0,444
keywords,,,1994169.0,888
keywords,,,3015611.0,1332
keywords,,,4013887.0,1776
keywords,,,4959895.0,2220
keywords,,,6000091.0,2664
keywords,,,7093277.0,3108
keywords,,,7963383.0,3552
keywords,,,9046109.0,3996
keywords,,,10067470.0,4440
keywords,,,11030750.0,4884
keywords,,,11836232.0,5328
keywords,,,12842776.0,5772
keywords,,,13797921.0,6216
keywords,,,14693122.0,6660
keywords,,,15656445.0,7104
keywords,,,28154668.0,7548
keywords,,,18133477.0,7992
keywords,,,18941072.0,8436
keywords,,,19874016.0,8880
keywords,,,20760381.0,9324
keywords,,,21870059.0,9768
keywords,,,23057383.0,10212
keywords,,,23827168.0,10656
keywords,,,25109854.0,11100
keywords,,,26236101.0,11544
keywords,,,27097610.0,11988
keywords,,,28085858.0,12432
keywords,,,28833792.0,12876
keywords,,,29793726.0,13320
keywords,,,30812623.0,13764
keywords,,,32163205.0,14208
keywords,,,32803065.0,14652
keywords,,,34099876.0,15096
keywords,,,35114484.0,15540
keywords,,,36146434.0,15984
keywords,,,37081963.0,16428
keywords,,,38182593.0,16872
keywords,,,38851147.0,17316
keywords,,,39794550.0,17760
keywords,,,40649266.0,18204
keywords,,,41738083.0,18648
keywords,,,43152928.0,19092
keywords,,,44349681.0,19536
keywords,,,45039624.0,19980
keywords,,,46575618.0,20424
keywords,,,47681498.0,20868
keywords,,,48418381.0,21312
keywords,,,49099338.0,21756
keywords,,,50287734.0,22200
keywords,,,51731183.0,22644
keywords,,,51909669.0,23088
keywords,,,52792148.0,23532
keywords,,,54176244.0,23976
keywords,,,55100221.0,24420
keywords,,,55753386.0,24864
keywords,,,56611187.0,25308
keywords,,,57774576.0,25752
keywords,,,59139657.0,26196
keywords,,,60228704.0,26640
keywords,,,60771451.0,27084
keywords,,,62261738.0,27528
keywords,,,62547538.0,27972
keywords,,,63609235.0,28416
keywords,,,65188750.0,28860
keywords,,,66078352.0,29304
keywords,,,66605949.0,29748
keywords,,,67994694.0,30192
keywords,,,68732449.0,30636
keywords,,,70613303.0,31080
keywords,,,71314590.0,31524
keywords,,,71314689.0,31968
keywords,,,72917449.0,32412
keywords,,,73734274.0,32856
keywords,,,74687756.0,33300
keywords,,,75909204.0,33744
keywords,,,77179716.0,34188
keywords,,,77316694.0,34632
keywords,,,79452913.0,35076
keywords,,,80509349.0,35520
keywords,,,81142977.0,35964
keywords,,,81649374.0,36408
keywords,,,81777778.0,36852
keywords,,,82851857.0,37296
keywords,,,84054110.0,37740
keywords,,,84926669.0,38184
keywords,,,86619398.0,38628
keywords,,,87348667.0,39072
keywords,,,89763542.0,39516
keywords,,,90869773.0,39960
keywords,,,91006471.0,40404
keywords,,,91530943.0,40848
keywords,,,93123002.0,41292
keywords,,,93225636.0,41736
keywords,,,95138922.0,42180
keywords,,,96852071.0,42624
keywords,,,97048842.0,43068
keywords,,,98645941.0,43512
keywords,,,99434681.0,43956
keywords,,,99469799.0,44400
